순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
19,D004,PET병,2011-04-25,19:04,19:12,8,W005811,센서,13D02080,참깨흑임자드레싱,충전실
16,D006,튜브,2011-04-25,16:30,16:34,4,W0054A1,미포장,16B06014,이마트 고소한 마요네즈250g,충전실
1,P004,PET#1,2011-04-28,12:30,13:00,30,W007212,식사,13R07008,베스트셀렉트허브칠리595g,포장실
7,C007,프리머 #1,2011-05-04,14:57,15:41,44,W003684,기타,26B06001,골드마요네즈(업소용)10kg(재),쿠킹실
14,D005,3.2마요,2011-05-04,21:15,21:19,4,W005811,센서,16B06050,신선하고깨끗한마요네즈,충전실
10,D008,파일롯 - 수동,2011-05-04,17:38,18:09,31,W005212,조회,13G01003,데리야끼소스-E,충전실
5,C001,쿠커 #1,2011-05-06,11:01,11:10,9,W003441,규격보정,23P02106,미스터피자피자소스엠피(재),쿠킹실
10,D013,마요네즈 수동,2011-05-06,12:21,12:25,4,W005A22,쿠커배합 미종료,13V00005,단호박베이스-2,충전실
1,P004,PET#1,2011-05-07,12:34,13:06,32,W007212,식사,13D02111,아몬드호두드레싱,포장실
4,C001,쿠커 #1,2011-05-11,10:08,10:20,12,W003312,전처리,23K01312,서비스면양념장(재),쿠킹실
5,C001,쿠커 #1,2011-05-11,10:08,10:47,39,W003312,전처리,23K01312,서비스면양념장(재),쿠킹실
6,C002,쿠커 #2,2011-05-11,10:24,10:32,8,W003312,전처리,23R06006,토마토갈릭소스-R(재),쿠킹실
25,D004,PET병,2011-05-11,20:44,20:52,8,W005811,센서,13D02156,오리엔탈드레싱225g,충전실
6,C006,2동 쿠커 #3,2011-05-12,11:10,11:43,33,W003312,전처리,26A02009,미스터피자단호박샐러드(재),쿠킹실
9,D004,PET병,2011-05-13,2:04,2:24,20,W005711,대기,13R02052,이마트베스트스테이크소스,충전실
8,C002,쿠커 #2,2011-05-16,15:15,15:41,26,W003452,충전,23P01020,미스터피자살사소스엠피(재),쿠킹실
2,D004,PET병,2011-05-16,9:16,10:40,84,W005A11,기타,13D02080,참깨흑임자드레싱,충전실
8,D004,PET병,2011-05-20,17:08,17:18,10,W005811,센서,13A00422,멸치볶음소스300g,충전실
2,C003,쿠커 #3,2011-05-23,8:48,9:51,63,W003312,전처리,23S01328,비프파스타소스(재),쿠킹실
5,D004,PET병,2011-05-23,11:46,12:01,15,W005811,센서,13D02080,참깨흑임자드레싱,충전실
3,C007,프리머 #1,2011-05-25,10:16,11:12,56,W003684,기타,23V00005,단호박베이스-2(재),쿠킹실
1,L002,전처리2실,2011-05-26,8:03,0:00,-483,W002443,기타,23P20101,핸드피자소스(재),계량실
7,C001,쿠커 #1,2011-05-30,10:39,11:24,45,W003312,전처리,23K01312,서비스면양념장(재),쿠킹실
2,C010,파일롯,2011-06-01,15:47,16:05,18,W003551,온도 상승 지연,23D04070,사쿠사쿠머스타드소스30g(재),쿠킹실
7,C001,쿠커 #1,2011-06-03,18:01,19:23,82,W003312,전처리,23K01273,초대리-B 20kg(재),쿠킹실
6,D003,로타리 #2,2011-06-03,14:21,15:30,69,W005811,센서,16B06028,디프라이스마요네즈-1 1kg,충전실
12,P002,파우치포장(#2),2011-06-04,6:44,6:48,4,W007691,센서,13U01149,블루베리시럽-KFC,포장실
14,C006,2동 쿠커 #3,2011-06-08,15:23,17:31,128,W003711,기타,26A01016,시아스고구마샐러드믹스(재),쿠킹실
8,D005,3.2마요,2011-06-09,17:15,17:22,7,W005811,센서,16B06050,신선하고깨끗한마요네즈,충전실
1,L001,전처리1실,2011-06-09,8:53,9:06,13,W002312,"업체미입고(생산미지연,순서변경)",23C01036,바다향굴소스(재),계량실
7,C002,쿠커 #2,2011-06-13,13:00,14:05,65,W003312,전처리,23P01020,미스터피자살사소스엠피(재),쿠킹실
7,C002,쿠커 #2,2011-06-16,17:48,17:54,6,W003441,규격보정,23P01231,이베스트피자소스(재),쿠킹실
2,D005,3.2마요,2011-06-16,10:08,10:33,25,W005811,센서,16B06050,신선하고깨끗한마요네즈,충전실
5,D005,3.2마요,2011-06-16,15:00,15:09,9,W005315,관리팀미입고(생산지연),16B04008,소후레쉬마요네즈골드3.2kg,충전실
